#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-18T16:18:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-18T16:18:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=II/246&-c=&-c.rs=5&limit=5000&-out=2MASS,RAJ2000,DEJ2000,Kmag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#INFO	ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	creator=Cutri R.M.	    First author or institution
#INFO	cites=bibcode:2003yCat.2246....0C	    Bibcode of the dataset
#INFO	journal=yCat	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/246	    Dataset landing page
#INFO	publication_date=2025-03-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
2MASS	RAJ2000	DEJ2000	Kmag
03065271+0220033 	046.719627	+02.334272	15.593
03065434+0220189 	046.726418	+02.338603	13.634
03065023+0219540 	046.709298	+02.331682	15.789
03065145+0220062 	046.714386	+02.335064	14.819
03070060+0219562 	046.752528	+02.332290	15.147
03070297+0220457 	046.762394	+02.346038	16.240
03070187+0220468 	046.757832	+02.346338	15.695
03070388+0221051 	046.766200	+02.351440	15.108
03070586+0221209 	046.774440	+02.355808	15.536
03065418+0220424 	046.725767	+02.345119	16.431
03065701+0221254 	046.737552	+02.357062	14.766
03065697+0221380 	046.737388	+02.360581	11.872
03070189+0221264 	046.757909	+02.357335	11.987
03065820+0222197 	046.742541	+02.372148	15.330
03065998+0222197 	046.749943	+02.372157	15.634
03074352+0215289 	046.931336	+02.258033	15.385
03074990+0216287 	046.957925	+02.274641	13.137
03073745+0216147 	046.906083	+02.270769	13.852
03074442+0216543 	046.935088	+02.281761	16.044
03074138+0218049 	046.922453	+02.301369	14.355
03075405+0217165 	046.975235	+02.287944	12.859
03080007+0218135 	047.000304	+02.303753	15.178
03075762+0218395 	046.990096	+02.310981	 9.640
03074926+0219474 	046.955273	+02.329849	11.815
03073325+0217116 	046.888571	+02.286560	15.465
03073573+0218111 	046.898875	+02.303102	15.644
03073933+0219306 	046.913889	+02.325169	15.680
03073842+0219387 	046.910122	+02.327430	15.341
03072450+0218318 	046.852115	+02.308840	15.355
03074270+0219534 	046.927950	+02.331513	14.445
03074494+0220398 	046.937258	+02.344391	15.294
03074959+0221319 	046.956658	+02.358863	15.696
03075141+0221394 	046.964228	+02.360972	15.119
03073918+0220466 	046.913288	+02.346295	 8.629
03074807+0222246 	046.950330	+02.373502	13.765
03073997+0221569 	046.916554	+02.365828	 8.715
03074370+0222307 	046.932105	+02.375211	11.148
03080610+0219205 	047.025452	+02.322387	15.275
03080547+0219374 	047.022811	+02.327056	15.470
03080836+0221412 	047.034848	+02.361459	14.578
03080845+0222494 	047.035215	+02.380393	12.075
03081170+0223407 	047.048757	+02.394654	14.757
03081563+0224046 	047.065154	+02.401302	15.487
03081913+0224149 	047.079711	+02.404160	13.614
03075285+0222215 	046.970225	+02.372644	16.405
03075939+0223489 	046.997494	+02.396939	15.239
03075493+0223242 	046.978892	+02.390078	15.951
03075356+0225061 	046.973184	+02.418372	15.387
03075625+0225112 	046.984390	+02.419803	15.591
03080553+0226308 	047.023044	+02.441895	11.218
03080198+0226174 	047.008278	+02.438167	15.950
03072804+0220202 	046.866869	+02.338964	12.243
03072967+0220510 	046.873641	+02.347523	13.846
03072902+0220577 	046.870952	+02.349378	15.886
03072129+0221090 	046.838734	+02.352519	11.913
03072513+0221579 	046.854726	+02.366085	14.599
03072456+0221585 	046.852344	+02.366274	14.110
03071862+0222039 	046.827601	+02.367770	16.155
03073362+0223031 	046.890108	+02.384219	13.675
03072909+0223214 	046.871247	+02.389278	14.416
03072431+0223185 	046.851313	+02.388493	15.355
03072443+0223259 	046.851802	+02.390540	14.828
03072789+0223402 	046.866223	+02.394519	15.860
03073099+0223575 	046.879156	+02.399318	15.868
03073033+0224416 	046.876375	+02.411559	14.132
03073345+0225107 	046.889389	+02.419657	11.502
03071162+0221137 	046.798426	+02.353825	15.583
03071215+0222475 	046.800658	+02.379876	15.075
03072129+0223032 	046.838720	+02.384244	14.355
03071399+0223021 	046.808295	+02.383923	15.393
03071886+0223414 	046.828607	+02.394856	15.506
03070760+0223083 	046.781676	+02.385639	15.511
03071144+0223233 	046.797696	+02.389814	14.484
03070942+0223218 	046.789280	+02.389397	15.459
03071302+0223415 	046.804250	+02.394878	12.416
03071563+0224217 	046.815160	+02.406040	14.683
03071417+0224332 	046.809068	+02.409229	14.977
03071376+0224412 	046.807372	+02.411451	15.458
03070930+0224061 	046.788757	+02.401697	15.365
03071958+0224257 	046.831594	+02.407140	12.473
03072034+0224481 	046.834788	+02.413365	15.300
03072369+0224564 	046.848728	+02.415673	11.345
03073021+0225570 	046.875904	+02.432526	13.414
03071544+0225202 	046.814350	+02.422285	15.517
03071334+0225383 	046.805586	+02.427306	15.214
03071824+0225473 	046.826012	+02.429820	14.429
03072352+0225518 	046.848040	+02.431059	15.677
03072512+0225598 	046.854682	+02.433299	11.439
03072255+0226298 	046.843974	+02.441617	15.684
03072497+0226196 	046.854048	+02.438790	14.482
03072597+0226309 	046.858215	+02.441919	13.434
03072417+0227198 	046.850710	+02.455523	14.147
03074420+0223547 	046.934173	+02.398541	15.640
03074212+0224280 	046.925513	+02.407785	15.441
03073989+0224257 	046.916246	+02.407164	14.423
03074952+0225049 	046.956363	+02.418044	13.142
03075167+0225394 	046.965310	+02.427622	15.325
03074612+0226266 	046.942191	+02.440727	15.073
03074749+0226450 	046.947896	+02.445844	14.363
03074244+0226214 	046.926844	+02.439280	16.092
03075440+0227330 	046.976679	+02.459178	15.713
03080189+0227185 	047.007894	+02.455156	12.834
03075554+0227425 	046.981417	+02.461828	14.949
03075991+0228353 	046.999653	+02.476478	15.047
03075222+0227268 	046.967594	+02.457466	14.646
03074741+0227376 	046.947545	+02.460466	15.283
03075036+0228039 	046.959861	+02.467774	15.375
03074983+0228065 	046.957642	+02.468475	13.377
03075915+0228581 	046.996486	+02.482831	14.261
03075830+0228545 	046.992938	+02.481822	11.689
03075255+0228275 	046.968972	+02.474325	15.950
03073368+0225402 	046.890342	+02.427843	15.546
03073804+0226467 	046.908527	+02.446316	12.132
03073506+0226285 	046.896124	+02.441266	15.599
03074314+0227406 	046.929779	+02.461305	14.176
03073071+0227155 	046.877999	+02.454326	15.120
03073810+0228577 	046.908753	+02.482702	14.663
03073418+0229297 	046.892418	+02.491599	14.607
03074371+0228444 	046.932153	+02.479024	15.655
03074017+0228374 	046.917381	+02.477075	16.170
03074994+0229017 	046.958123	+02.483813	14.838
03074832+0229317 	046.951374	+02.492158	15.607
03074211+0230432 	046.925482	+02.512008	11.364
03074433+0231233 	046.934738	+02.523152	15.611
03074225+0231457 	046.926073	+02.529388	14.604
03061974+0215136 	046.582279	+02.253793	14.278
03062113+0215409 	046.588079	+02.261372	15.343
03061570+0215285 	046.565419	+02.257922	15.495
03061568+0215423 	046.565338	+02.261760	15.043
03061854+0215421 	046.577252	+02.261703	15.840
03061735+0215574 	046.572298	+02.265970	14.734
03062039+0216213 	046.584974	+02.272602	15.929
03061411+0215494 	046.558799	+02.263729	12.471
03061942+0216369 	046.580932	+02.276923	14.099
03061548+0216443 	046.564508	+02.278985	15.242
03061120+0216261 	046.546695	+02.273925	14.666
03061987+0217432 	046.582807	+02.295348	14.076
03061832+0218210 	046.576373	+02.305853	14.993
03061948+0218433 	046.581185	+02.312051	15.920
03063759+0218337 	046.656659	+02.309384	13.963
03064013+0218457 	046.667248	+02.312695	13.899
03062308+0218292 	046.596170	+02.308128	15.434
03063073+0219102 	046.628078	+02.319507	14.768
03062751+0220260 	046.614654	+02.340570	15.330
03061102+0218027 	046.545922	+02.300761	14.765
03061615+0218369 	046.567322	+02.310269	16.028
03061476+0219282 	046.561527	+02.324518	14.496
03060343+0218054 	046.514325	+02.301502	15.669
03060447+0218476 	046.518664	+02.313239	15.664
03060336+0218420 	046.514004	+02.311691	11.697
03060508+0219274 	046.521170	+02.324300	14.682
03061163+0219479 	046.548469	+02.329989	13.857
03060686+0219330 	046.528623	+02.325840	13.646
03060475+0220057 	046.519829	+02.334936	16.641
03062172+0220386 	046.590518	+02.344056	14.833
03062158+0220522 	046.589922	+02.347858	14.852
03062494+0221172 	046.603944	+02.354799	15.754
03061557+0222121 	046.564895	+02.370052	17.269
03062003+0222422 	046.583495	+02.378402	13.641
03064312+0219551 	046.679705	+02.331984	11.857
03063724+0219439 	046.655205	+02.328886	15.530
03064672+0220151 	046.694684	+02.337542	17.213
03064816+0220551 	046.700669	+02.348664	11.700
03064706+0221301 	046.696096	+02.358375	15.045
03063508+0220497 	046.646202	+02.347144	11.739
03063180+0221036 	046.632532	+02.351019	15.897
03063677+0221261 	046.653227	+02.357259	15.742
03063621+0221342 	046.650877	+02.359517	15.413
03065126+0221115 	046.713597	+02.353208	14.305
03065104+0221252 	046.712671	+02.357008	14.146
03065066+0221401 	046.711120	+02.361155	15.888
03065045+0222299 	046.710231	+02.374983	14.882
03065076+0223089 	046.711512	+02.385827	15.368
03065243+0223128 	046.718463	+02.386908	14.418
03065322+0223275 	046.721782	+02.390989	15.155
03065703+0224032 	046.737632	+02.400906	14.968
03064963+0222557 	046.706805	+02.382155	13.337
03064260+0223248 	046.677540	+02.390237	13.322
03064813+0224395 	046.700546	+02.410978	15.503
03062776+0222313 	046.615680	+02.375381	14.176
03063715+0223599 	046.654815	+02.399997	16.004
03062560+0224096 	046.606684	+02.402674	17.204
03063010+0223306 	046.625449	+02.391843	15.680
03063015+0223560 	046.625637	+02.398915	15.358
03062953+0224238 	046.623054	+02.406637	11.801
03064337+0223550 	046.680721	+02.398628	15.410
03064271+0224351 	046.677968	+02.409767	12.811
03064847+0225389 	046.701983	+02.427480	12.023
03064694+0226194 	046.695594	+02.438744	16.034
03063381+0225214 	046.640905	+02.422619	15.725
03063637+0226178 	046.651558	+02.438283	11.725
03060168+0219369 	046.507039	+02.326923	16.173
03060284+0219586 	046.511856	+02.332946	15.795
03055892+0220001 	046.495532	+02.333386	13.400
03055823+0220151 	046.492662	+02.337555	15.949
03060019+0220173 	046.500802	+02.338153	13.657
03055899+0220464 	046.495808	+02.346230	16.391
03060756+0221207 	046.531504	+02.355770	 5.034
03055279+0221176 	046.469988	+02.354894	 9.868
03061449+0222196 	046.560394	+02.372113	15.749
03061203+0223334 	046.550139	+02.392625	15.589
03061497+0223470 	046.562408	+02.396391	15.632
03060416+0222599 	046.517360	+02.383308	14.452
03054757+0222496 	046.448223	+02.380463	15.597
03054843+0223073 	046.451799	+02.385382	14.723
03054949+0223130 	046.456233	+02.386951	14.805
03055287+0223268 	046.470308	+02.390783	13.239
03054432+0222314 	046.434677	+02.375397	14.823
03054397+0222422 	046.433248	+02.378400	15.757
03054841+0223511 	046.451745	+02.397538	15.734
03054652+0223576 	046.443839	+02.399350	15.487
03055016+0224563 	046.459027	+02.415661	16.220
03055770+0224021 	046.490452	+02.400605	15.822
03055588+0224468 	046.482835	+02.413001	16.468
03055972+0224416 	046.498874	+02.411564	12.381
03061951+0223404 	046.581313	+02.394565	15.063
03062447+0224350 	046.601999	+02.409741	15.755
03062572+0226016 	046.607202	+02.433791	15.609
03063021+0225320 	046.625888	+02.425582	14.756
03063897+0228071 	046.662411	+02.468650	13.091
03062451+0228348 	046.602138	+02.476343	13.262
03062874+0229115 	046.619784	+02.486551	14.444
03062839+0229308 	046.618327	+02.491892	15.922
03060808+0225467 	046.533694	+02.429662	13.372
03060933+0225516 	046.538901	+02.431016	15.163
03060469+0226303 	046.519572	+02.441750	14.548
03060417+0226421 	046.517406	+02.445050	14.170
03061141+0228432 	046.547565	+02.478672	15.197
03061086+0228434 	046.545277	+02.478747	15.420
03060645+0229093 	046.526896	+02.485923	15.314
03060636+0229144 	046.526501	+02.487359	15.153
03061814+0228218 	046.575597	+02.472723	16.337
03062264+0229138 	046.594369	+02.487170	14.330
03061935+0228506 	046.580642	+02.480735	15.358
03062409+0231044 	046.600383	+02.517901	15.154
03062235+0231285 	046.593145	+02.524586	15.121
03065869+0224029 	046.744544	+02.400814	14.004
03071059+0225504 	046.794142	+02.430678	13.768
03070663+0226054 	046.777643	+02.434838	14.500
03070479+0226030 	046.769978	+02.434193	13.532
03065805+0225066 	046.741894	+02.418503	15.483
03065564+0225013 	046.731845	+02.417042	11.539
03065953+0225372 	046.748046	+02.427006	14.727
03065491+0226018 	046.728825	+02.433842	15.921
03071479+0226077 	046.811650	+02.435487	15.310
03071470+0226384 	046.811253	+02.444001	16.096
03071173+0227238 	046.798899	+02.456620	15.973
03072065+0227232 	046.836046	+02.456457	14.123
03071439+0227384 	046.809960	+02.460679	14.529
03070705+0227301 	046.779391	+02.458363	14.809
03070739+0227449 	046.780817	+02.462483	12.851
03070237+0227397 	046.759908	+02.461029	12.937
03071476+0228554 	046.811528	+02.482060	15.775
03071127+0229059 	046.796983	+02.484998	10.141
03071081+0229067 	046.795067	+02.485203	15.225
03065349+0226448 	046.722904	+02.445783	15.899
03065134+0227043 	046.713934	+02.451210	12.373
03065617+0226563 	046.734056	+02.448997	15.165
03065683+0228427 	046.736807	+02.478539	14.639
03064718+0227249 	046.696586	+02.456925	15.370
03064661+0227198 	046.694237	+02.455522	14.502
03064549+0227253 	046.689580	+02.457042	12.046
03064200+0227441 	046.675031	+02.462270	14.556
03065283+0228053 	046.720133	+02.468158	12.009
03065236+0228132 	046.718189	+02.470355	14.262
03065450+0228410 	046.727089	+02.478083	14.321
03064952+0229001 	046.706349	+02.483374	14.737
03070218+0229206 	046.759098	+02.489076	16.018
03070748+0230106 	046.781180	+02.502950	11.843
03070761+0230283 	046.781720	+02.507883	16.148
03065855+0229325 	046.743977	+02.492364	16.155
03070093+0230141 	046.753889	+02.503926	12.837
03070019+0231384 	046.750807	+02.527351	15.622
03070195+0231458 	046.758161	+02.529401	12.649
03073058+0230270 	046.877445	+02.507509	15.320
03072548+0230099 	046.856197	+02.502777	15.941
03071432+0229445 	046.809689	+02.495720	12.308
03072407+0230305 	046.850322	+02.508482	15.578
03072169+0230211 	046.840415	+02.505866	13.354
03072419+0231088 	046.850796	+02.519132	15.547
03073239+0230326 	046.884999	+02.509063	15.357
03073421+0231122 	046.892581	+02.520066	16.131
03073469+0231515 	046.894582	+02.530993	15.973
03073799+0231318 	046.908326	+02.525500	15.776
03073798+0231545 	046.908251	+02.531824	15.200
03073639+0232124 	046.901630	+02.536797	15.712
03072813+0231477 	046.867225	+02.529933	12.440
03072804+0231500 	046.866858	+02.530572	12.539
03071260+0230037 	046.802527	+02.501037	13.742
03070962+0231109 	046.790094	+02.519697	15.346
03071799+0231235 	046.824979	+02.523203	14.564
03071695+0231198 	046.820661	+02.522179	15.733
03071857+0231339 	046.827384	+02.526084	12.158
03071643+0231290 	046.818495	+02.524724	13.470
03071599+0231567 	046.816652	+02.532421	13.855
03071578+0232170 	046.815781	+02.538065	15.785
03070864+0231405 	046.786040	+02.527933	14.220
03070879+0231373 	046.786649	+02.527041	14.194
03070713+0231575 	046.779725	+02.532658	15.624
03071057+0232193 	046.794051	+02.538722	11.280
03070467+0232157 	046.769481	+02.537719	15.004
03072470+0232518 	046.852932	+02.547740	14.429
03072809+0233379 	046.867059	+02.560542	15.235
03071829+0234036 	046.826234	+02.567692	15.214
03072731+0235387 	046.863803	+02.594086	15.987
03072063+0235150 	046.835981	+02.587513	15.550
03072021+0235586 	046.834244	+02.599613	17.260
03064249+0228314 	046.677043	+02.475404	 8.002
03064683+0229377 	046.695148	+02.493814	11.339
03064673+0229514 	046.694712	+02.497622	16.919
03063521+0230361 	046.646728	+02.510030	13.670
03064495+0231187 	046.687304	+02.521875	15.858
03064347+0231192 	046.681140	+02.522006	15.103
03065218+0231516 	046.717428	+02.531010	15.073
03064856+0232174 	046.702335	+02.538172	15.434
03064946+0234004 	046.706116	+02.566802	14.611
03062757+0231011 	046.614914	+02.516997	16.172
03063237+0231363 	046.634890	+02.526774	15.284
03063172+0232168 	046.632193	+02.538010	15.529
03062486+0233077 	046.603611	+02.552152	17.004
03063007+0234225 	046.625331	+02.572943	 9.101
03063995+0232589 	046.666498	+02.549717	13.406
03064572+0233363 	046.690512	+02.560111	14.724
03063976+0234420 	046.665682	+02.578339	14.852
03064219+0234483 	046.675806	+02.580111	15.256
03063995+0234535 	046.666480	+02.581545	15.817
03063899+0236143 	046.662489	+02.603992	15.153
03070958+0234373 	046.789937	+02.577031	15.126
03070909+0234401 	046.787910	+02.577822	16.171
03070359+0234367 	046.764994	+02.576868	12.541
03070338+0234438 	046.764085	+02.578841	13.040
03065833+0234105 	046.743052	+02.569592	15.738
03070033+0234286 	046.751377	+02.574618	14.852
03065871+0234406 	046.744658	+02.577951	14.801
03071230+0234404 	046.801266	+02.577898	15.947
03071745+0236350 	046.822711	+02.609729	13.306
03072103+0236327 	046.837658	+02.609110	13.206
03071737+0236436 	046.822385	+02.612115	15.891
03071686+0236488 	046.820283	+02.613557	14.740
03070937+0236379 	046.789077	+02.610553	13.785
03071104+0237024 	046.796009	+02.617359	15.843
03071499+0237525 	046.812485	+02.631257	16.261
03071101+0237352 	046.795901	+02.626453	16.225
03070892+0237561 	046.787202	+02.632258	15.497
03070961+0238003 	046.790080	+02.633433	13.483
03065197+0234587 	046.716553	+02.582974	13.912
03065026+0235276 	046.709431	+02.591016	12.174
03064963+0235371 	046.706828	+02.593643	13.661
03065861+0236194 	046.744217	+02.605401	15.800
03065217+0236537 	046.717404	+02.614930	15.610
03064595+0235434 	046.691471	+02.595400	15.731
03064630+0237461 	046.692953	+02.629486	15.632
03065275+0237420 	046.719795	+02.628352	15.362
03065016+0237379 	046.709000	+02.627221	15.772
03070156+0237084 	046.756511	+02.619004	13.225
03070401+0237215 	046.766724	+02.622643	14.989
03070402+0237295 	046.766758	+02.624866	 9.884
03070378+0238089 	046.765761	+02.635815	12.261
03071169+0238595 	046.798720	+02.649881	14.742
03070591+0239190 	046.774648	+02.655296	15.397
03065649+0237524 	046.735398	+02.631242	13.608
03070018+0239028 	046.750772	+02.650792	15.850
03065238+0239077 	046.718266	+02.652161	14.976
03083180+0224303 	047.132527	+02.408421	15.784
03082905+0225114 	047.121077	+02.419845	12.907
03082796+0225095 	047.116520	+02.419323	14.318
03083285+0226033 	047.136904	+02.434255	14.501
03083371+0226494 	047.140476	+02.447066	15.544
03083570+0227030 	047.148791	+02.450850	16.409
03083223+0227166 	047.134297	+02.454616	15.731
03082874+0227183 	047.119751	+02.455084	14.899
03082808+0228078 	047.117039	+02.468839	15.452
03083649+0228224 	047.152049	+02.472894	15.518
03083709+0228322 	047.154559	+02.475630	14.874
03084068+0229039 	047.169520	+02.484428	16.201
03083905+0229133 	047.162739	+02.487033	12.162
03081550+0226121 	047.064603	+02.436718	10.473
03081862+0226145 	047.077586	+02.437381	15.787
03081694+0226557 	047.070607	+02.448828	13.887
03082043+0228250 	047.085140	+02.473622	15.697
03081033+0227026 	047.043070	+02.450734	15.313
03081437+0227510 	047.059910	+02.464193	13.173
03081628+0228180 	047.067849	+02.471694	14.652
03081545+0228257 	047.064409	+02.473826	13.245
03081998+0228524 	047.083270	+02.481244	12.982
03081293+0229080 	047.053875	+02.485576	 9.892
03082518+0229425 	047.104931	+02.495158	14.378
03083501+0229513 	047.145906	+02.497611	15.522
03083214+0229564 	047.133933	+02.499013	15.236
03083207+0230319 	047.133641	+02.508865	15.016
03082307+0230235 	047.096158	+02.506540	14.510
03082410+0230267 	047.100417	+02.507432	15.280
03081972+0229569 	047.082190	+02.499149	14.611
03082131+0230291 	047.088812	+02.508108	15.546
03082412+0231060 	047.100500	+02.518354	15.834
03082690+0231299 	047.112097	+02.524997	14.725
03084759+0227538 	047.198332	+02.464962	16.051
03084666+0229171 	047.194423	+02.488097	15.802
03084806+0229505 	047.200285	+02.497365	15.797
03085096+0229228 	047.212339	+02.489694	13.006
03084525+0230034 	047.188557	+02.500952	15.348
03084142+0230492 	047.172589	+02.513677	14.433
03084830+0231152 	047.201252	+02.520904	15.438
03084309+0231150 	047.179551	+02.520838	15.529
03085862+0230358 	047.244266	+02.509961	14.363
03085722+0231511 	047.238433	+02.530883	15.323
03085081+0232196 	047.211709	+02.538794	14.937
03085960+0232370 	047.248354	+02.543626	15.162
03083862+0231228 	047.160922	+02.523005	13.173
03083468+0231018 	047.144514	+02.517172	16.455
03083240+0230565 	047.135039	+02.515702	15.387
03083655+0231236 	047.152294	+02.523227	15.316
03083751+0232020 	047.156314	+02.533897	15.616
03084312+0231447 	047.179689	+02.529098	16.079
03083226+0231208 	047.134440	+02.522471	14.127
03083719+0232299 	047.154970	+02.541650	15.627
03085211+0234229 	047.217140	+02.573045	15.831
03085384+0235192 	047.224339	+02.588673	15.965
03084759+0234323 	047.198321	+02.575656	15.201
03084407+0235154 	047.183647	+02.587627	15.586
03080534+0227531 	047.022273	+02.464751	14.397
03080440+0228112 	047.018334	+02.469803	12.915
03080462+0229068 	047.019265	+02.485225	14.211
03081065+0229151 	047.044377	+02.487545	14.785
03075840+0229325 	046.993371	+02.492367	15.613
03080665+0231310 	047.027742	+02.525295	15.735
03081645+0230275 	047.068573	+02.507661	10.107
03081920+0231205 	047.080016	+02.522363	15.282
03081998+0231482 	047.083276	+02.530074	15.543
03082161+0231498 	047.090052	+02.530525	15.004
03082514+0232030 	047.104766	+02.534183	14.569
03081237+0231444 	047.051562	+02.529006	14.758
03081122+0232518 	047.046752	+02.547723	15.169
03081609+0233085 	047.067055	+02.552374	15.450
03075660+0232319 	046.985854	+02.542200	11.515
03075992+0232207 	046.999707	+02.539103	15.883
03075827+0232516 	046.992814	+02.547683	15.359
03074902+0232250 	046.954280	+02.540285	15.949
03075787+0233107 	046.991126	+02.552997	15.450
03080559+0232331 	047.023329	+02.542531	15.803
03080943+0233222 	047.039312	+02.556167	12.081
03080438+0234146 	047.018286	+02.570745	14.924
03081411+0234231 	047.058809	+02.573087	15.213
03080046+0234133 	047.001942	+02.570364	14.973
03075791+0234338 	046.991328	+02.576075	16.971
03075673+0234351 	046.986382	+02.576441	13.015
03080038+0234405 	047.001586	+02.577925	15.692
03080095+0235092 	047.003991	+02.585895	15.384
03082220+0233062 	047.092528	+02.551726	17.295
03083471+0234507 	047.144653	+02.580760	13.115
03082721+0234178 	047.113386	+02.571633	11.084
03083235+0234497 	047.134793	+02.580499	15.376
03081915+0234367 	047.079829	+02.576879	16.205
03082714+0236283 	047.113121	+02.607872	16.022
03082602+0236243 	047.108450	+02.606755	15.700
03083749+0235053 	047.156214	+02.584808	14.872
03081728+0235004 	047.072026	+02.583447	15.441
03081107+0236138 	047.046147	+02.603840	15.561
03080877+0237156 	047.036573	+02.621003	15.650
03081607+0237272 	047.066964	+02.624244	15.720
03081419+0238310 	047.059164	+02.641957	13.882
03081503+0238428 	047.062634	+02.645243	15.953
03082754+0237129 	047.114769	+02.620253	15.899
03083288+0239080 	047.137027	+02.652238	15.564
03083183+0239088 	047.132647	+02.652446	15.505
03083264+0239242 	047.136017	+02.656730	15.412
03081767+0239162 	047.073625	+02.654501	15.947
03082698+0239489 	047.112447	+02.663603	13.206
03091433+0235211 	047.309725	+02.589220	14.756
03090119+0234494 	047.254971	+02.580415	15.979
03091954+0235218 	047.331448	+02.589397	12.445
03091902+0236061 	047.329284	+02.601720	15.869
03091618+0236448 	047.317448	+02.612468	15.469
03091111+0236557 	047.296306	+02.615481	12.986
03091909+0236596 	047.329558	+02.616578	14.497
03085784+0235339 	047.241022	+02.592767	15.242
03090115+0235272 	047.254831	+02.590901	10.854
03085922+0235291 	047.246786	+02.591423	15.679
03085365+0235354 	047.223546	+02.593187	15.514
03090557+0236092 	047.273248	+02.602581	15.159
03090156+0236332 	047.256528	+02.609249	13.286
03090649+0237175 	047.277069	+02.621549	15.959
03091169+0237360 	047.298749	+02.626682	15.858
03090648+0238225 	047.277023	+02.639585	15.026
03090618+0238256 	047.275750	+02.640465	15.959
03090333+0239218 	047.263877	+02.656069	15.421
03091057+0240441 	047.294071	+02.678934	13.437
03093020+0237065 	047.375848	+02.618478	15.222
03092882+0237047 	047.370111	+02.617973	15.881
03093042+0237324 	047.376762	+02.625692	15.132
03092610+0237311 	047.358785	+02.625308	13.429
03093627+0238209 	047.401144	+02.639159	14.002
03093369+0239019 	047.390410	+02.650551	14.887
03092795+0239417 	047.366461	+02.661611	12.325
03093835+0239563 	047.409808	+02.665664	15.744
03094585+0240137 	047.441083	+02.670475	13.642
03094620+0240435 	047.442516	+02.678750	15.343
03094768+0240442 	047.448698	+02.678965	15.959
03094262+0241331 	047.427603	+02.692546	16.147
03093169+0241208 	047.382047	+02.689125	10.730
03093977+0241447 	047.415712	+02.695764	13.571
03094029+0242107 	047.417908	+02.702986	16.266
03094461+0242206 	047.435915	+02.705724	15.707
03094363+0242235 	047.431805	+02.706532	14.305
03093925+0242354 	047.413567	+02.709836	13.241
03091533+0240020 	047.313898	+02.667242	15.653
03092017+0241096 	047.334077	+02.686020	15.408
03091418+0242072 	047.309084	+02.702019	15.156
03091713+0241525 	047.321398	+02.697940	14.609
03092268+0242235 	047.344521	+02.706554	14.502
03091620+0242316 	047.317501	+02.708801	15.654
03091656+0242504 	047.319014	+02.714010	15.542
03093230+0242176 	047.384621	+02.704906	11.797
03093263+0242476 	047.385997	+02.713226	14.534
03092250+0242554 	047.343783	+02.715410	15.116
03092140+0243342 	047.339185	+02.726184	12.644
03092140+0243408 	047.339171	+02.728012	15.544
03092419+0243358 	047.350801	+02.726638	15.265
03092565+0243576 	047.356891	+02.732677	14.850
03092998+0243509 	047.374951	+02.730831	14.808
03092693+0244045 	047.362217	+02.734603	13.196
03092768+0244132 	047.365343	+02.737014	13.012
03093201+0245074 	047.383385	+02.752081	14.963
03084270+0237519 	047.177951	+02.631094	15.283
03084914+0238194 	047.204788	+02.638724	15.041
03085493+0238258 	047.228896	+02.640510	15.913
03085276+0239582 	047.219847	+02.666167	15.653
03084101+0238182 	047.170883	+02.638405	14.009
03084497+0239127 	047.187415	+02.653547	12.069
03083973+0239086 	047.165579	+02.652405	15.270
03084233+0239085 	047.176405	+02.652377	13.231
03084061+0239262 	047.169227	+02.657302	14.412
03084363+0240078 	047.181821	+02.668855	16.188
03085722+0239080 	047.238435	+02.652236	15.749
03085591+0239264 	047.232967	+02.657335	15.311
03090254+0240078 	047.260609	+02.668847	15.564
03085537+0241022 	047.230720	+02.683960	16.053
03085367+0242298 	047.223642	+02.708279	15.614
03084301+0241292 	047.179234	+02.691455	14.943
03083802+0242193 	047.158433	+02.705383	13.152
